Train No.,From,To,Train Name
12103/12104  ,Pune,Lucknow,
12105/12106   ,Mumbai CST,Gondia,Vidarbha
12107/12108  ,Lokmanya Tilak (T),Lucknow,
12109/12110   ,Mumbai CST,Manmad,Panchavati
12111/12112  ,Mumbai CST,Amravati,
12113/12114   ,Pune,Nagpur,Garib Rath
12115/12116   ,Mumbai CST,Solapur,Siddheshwar
12117/12118  ,Lokmanya Tilak (T),Manmad,
12119/12120  ,Amravati,Ajni (Nagpur) ,Intercity
12121/12122 ,Jabalpur  ,Nizamuddin,Madhya Pradesh Sampark Kranti
12123/12124   ,Mumbai CST,Pune,Deccan Queen
12125/12126   ,Mumbai CST,Pune,Pragati
12127/12128   ,Mumbai CST,Pune,Intercity
12129/12130    ,Pune,Howrah,Azad Hind
12131/12132  ,Dadar,Sai Nagar Shirdi,
12133/12134  ,Mumbai CST,Mangalore Jn,
12135/12136  ,Pune,Nagpur,
12137/12138   ,Mumbai CST,Firozpur Cantt.,Punjab Mail
12139/12140   ,Mumbai CST,Nagpur,Sewagram
12141/12142  ,Mumbai CST,Rajendranagar,
12143/12144  ,LokmanyaTilak (T),Sultanpur,
12145/12146  ,LokmanyaTilak (T),Puri,
12147/12148,Sri Chhatrapati Shahu Maharaj (T),Nizamuddin,
12149/12150  ,Pune,Patna,
12151/12152   ,LokmanyaTilak (T),Howrah,Samarsata
12153/12154  ,LokmanyaTilak (T),Habibganj,
12155/12156   ,Habibganj,Nizamuddin,Bhopal
12157/12158   ,Pune,Solapur,Hutatma
12159/12160  ,Amravati,Jabalpur,
12161/12162   ,LokmanyaTilak (T),Agra Cantt.,Lashkar
12163/12164  ,Dadar,Chennai Egmore,
12165/12166  ,LokmanyaTilak(T),Varanasi,
12167/12168,LokmanyaTilak(T),Varanasi,
12169/12170   ,Pune,Solapur,Intercity
12171/12172   ,LokmanyaTilak(T),Haridwar,AC
12173/12174   ,LokmanyaTilak(T),Pratapgarh,Udyognagari
12319/12320,Kolkata,Agra Cantt.,
12175/12176,Howrah,Gwalior ,Chambal 
12321/12322,Howrah,Mumbai CST ,Mail 
12177/12178,Howrah,Mathura,Chambal
12323/12324,Howrah,New Delhi,
12179/12180,Lucknow Jn.,Agra Cantt.,Intercity 
12325/12326,Kolkata,Nangaldam,
12181/12182,Jabalpur,Ajmer ,Dayodaya
12327/12328,Howrah,Dehradun,Upasana
12183/12184,Bhopal,Pratapgarh,
12329/12330,Sealdah,Delhi,West Bengal Sampark Kranti
12185/12186,Habibganj,Rewa (via Bina),Rewanchal
12331/12332,Howrah,Jammu Tawi ,Himgiri
12187/12188,Jabalpur,Mumbai CST,Garib Rath
12333/12334,Howrah,Allahabad City,Vibhuti
12189/12190,Jabalpur  ,Nizamuddin,Mahakoshal
12335/12336,Bhagalpur ,Lokmanya Tilak(T),
12191/12192,New Delhi ,Jabalpur,
