Train No.,From,To,Train Name
13021/13022,"Howrah Raxaul Mithila 37,64 13425/13426 Malda Town Surat 73,34",,
13023/13024,Howrah Gaya 1 13465/13466 Howrah Malda Town Intercity 14,,
13025/13026,"Howrah Bhopal 43,73 13483/13484 Malda Town Delhi Farakka 1,25",,
13027/13028,Howrah Azimganj Kavi Guru 14 13501/13502 Haldia Asansol Intercity 87,,
13039/13040,Howrah Delhi Janata 1 13505/13506 Digha Asansol 87,,
13043/13044,Howrah Raxaul 37 13507/13508 Asansol Gorakhpur 37,,
13049/13050,Howrah Amritsar 12 13509/13510 Asansol Gonda 37,,
13051/13052,Howrah Siuri Hool 92 13511/13512 Tatanagar Asansol 36,,
13053/13054,Howrah Siuri 92 14001/14002 Delhi Atari Link 15,,
13071/13072,Howrah Jamalpur 1 14003/14004 Malda Town New Delhi 18,,
13103/13104,"Sealdah Lal Gola Bhagirathi 14 14005/14006 Sitamarhi Anand Vihar (T) Lichchavi 22,63",,
13105/13106,"Sealdah Ballia 37 14007/14008 Raxaul Delhi Sadhbhavana 22,25",,
13111/13112,Kolkata Delhi Lal Quila 1 14009/14010 Chhindwara Delhi Sarai Rohilla Patalkot 2,,
13113/13114,Kolkata Lalgola Hazarduari 14 14011/14012 Delhi Hoshiarpur 16,,
13117/13118,Kolkata Lalgola 14 14013/14014 Sultanpur Delhi Sadhbhavana 25,,
13119/13120,"Sealdah Delhi 1,25 14015/14016 Raxaul Delhi Sadhbhavana 22,25,64",,
13133/13134,"Sealdah Varanasi 1 14017/14018 Raxaul Delhi Sadhbhavana 22,25",,
13135/13136,Kolkata Jaynagar 37 14033/14034 Delhi Udhampur Jammu Mail 16,,
13137/13138,Barrackpore Azamgarh 37 14035/14036 Delhi Pathankot Dhauladhar 16,,
13141/13142,Sealdah Haldibari/New Alipurduar Teesta Torsha 14 14037/14038 Delhi Pathankot (via Amritsar) 15,,
13145/13146,Kolkata Radhikapur 14 14041/14042 Delhi Sarai Rohilla Dehradun Mussoorie 75,,
13147/13148,Sealdah New Cooch Behar Uttar Banga 14 14043/14044 Kotdwara Delhi Garhwal 75,,
13149/13150,"Sealdah Alipurduar Jn. Kanchan Kanya 14,74 14055/14056 Dibrugarh Delhi Brahmaputra Mail 1,18,66",,
13151/13152,"Kolkata Jammu Tawi 12 14083/14084 Delhi AlipurduarJn. Sikkim Mahananda 1,18,74",,
13153/13154,Sealdah Malda Town Gour 14 14085/14086 Tilak Bridge Sirsa Haryana 39,,
13155/13156,Kolkata Sitamarhi Mithilanchal 37 14095/14096 Delhi Sarai Rohilla Kalka Himalayan Queen 27,,
13157/13158,Kolkata Muzaffarpur Tirhut 37 14109/14110 Kanpur Chitrakootdham Karvi 57,,
13159/13160,Kolkata Jogbani 14 14113/14114 Allahabad Dehradun Link 68,,
13161/13162,Kolkata Balurghat Tebhaga 14 14115/14116 Allahabad Haridwar 88,,
13163/13164,"Sealdah Saharsa Hatey Bazare 14 14119/14120 Kathgodam Dehradun 13,55",,
13165/13166,Kolkata Sitamarhi 37 14123/14124 Pratapgarh Kanpur 25,,
13167/13168,"Kolkata Agra Cantt 12,65 14125/14126 Allahabad Faizabad 25",,
13185/13186,Sealdah Jaynagar Ganga Sagar 37 14151/14152 Kanpur Anand Vihar (T) 25,,
13187/13188,Sealdah Rampurhat 14 14163/14164 Allahabad Meerut City Sangam 68,,
13201/13202,Rajendranagar Lokmanya Tilak (T) 24 14201/14202 Jaunpur Rae Bareli 25,,
13225/13226,Jaynagar Danapur 90 14203/14204 Varanasi Lucknow Intercity 25,,
13233/13234,Rajgir Danapur 67 14205/14206 Faizabad Delhi 25,,
13235/13236,Sahibganj Danapur Intercity 93 14207/14208 Pratapgarh Delhi Padmavat 25,,
13237/13238,"Patna Kota (via Faizabad) 3,79 14209/14210 Vindyachal Lucknow Intercity 25",,
13239/13240,"Patna Kota (via Sultanpur) 3,79 14211/14212 Agra Cantt. New Delhi Intercity 2",,
13241/13242,Banka Rajendra nagar 24 14213/14214 Varanasi Gonda Intercity 81,,
13243/13244,Patna Dehri-on-sone Intercity 48 14215/14216 Allahabad Lucknow Ganga Gomti 25,,
13245/13246,"New Jalpaiguri Danapur Capital 18 14217/14218 Allahabad Chandigarh Unchahar 1,27",,
13247/13248,"Kamakhya Danapur Capital 18,74 14219/14220 Varanasi Lucknow 12",,
13249/13250,Patna Bhabhua Road Intercity 24 14227/14228 Varanasi Lucknow Varuna 25,,
13251/13252,Islampur Rajendra nagar 89 14235/14236 Varanasi Bareilly 25,,
13253/13254,"Rajgir Howrah (via Tilaiya) 37, 67 14257/14258 Varanasi New Delhi Kashi Vishwanath 25",,
13255/13256,"Patliputra Chandigarh 88 14259/14260 Rameswaram Varanasi 17,21",,
13281/13282,"New Tinsukia Rajendra Nagar 66,18 14265/14266 Varanasi Dehradun 12",,
13287/13288,"Durg Danapur South Bihar 5,36 14307/14308 Prayag Bareilly 25",,
13301/13302,"Dhanbad Tatanagar Suvarna Rekha 87 14309/14310 Ujjain Dehradun Ujjaini 4,75",,
13303/13304,"Dhanbad Ranchi Intercity 36 14311/14312 Bareilly Bhuj (via Ahmedabad) Ala Hazrat 11,23,55",,
13305/13306,"Dhanbad Gaya Intercity 1 14313/14314 Lokmanya Tilak (T) Bareilly 2,55",,
13307/13308,Dhanbad Firozpur Cantt. Ganga Sutlej 12,,
14315/14316,Bareilly New Delhi Intercity 55,,
13317/13318,Howrah Dhanbad Black Diamond 37,,
14317/14318,"Indore Dehradun 4,75",,
13319/13320,Baidynathdham Ranchi 36,,
14321/14322,"Bareilly Bhuj (via Bhildi) Ala Hazrat 11,23,55",,
13329/13330,Dhanbad Patna Ganga Damodar 36,,
14323/14324,New Delhi Rohtak 16,,
13331/13332,Dhanbad Patna 36,,
14369/14370,Singrauli Bareilly Triveni 25,,
13345/13346,Varanasi Singrauli Intercity 25,,
14501/14502,Batinda Jammu Tawi 51,,
13347/13348,Barkakana Patna Palamau 48,,
14503/14504,"Kalka Katra 16,27",,
13351/13352,Dhanbad Alappuzha 40,,
14511/14512,Allahabad Saharanpur Nauchandi 88,,
13401/13402,Bhagalpur Danapur Intercity 93,,
14521/14522,Delhi Ambala Cantt. 15,,
13403/13404,Ranchi Bhagalpur Vananchal 36,,
14523/14524,"Muzaffarpur Ambala Cantt. Hariharnath 22,88",,
13409/13410,Malda Town Jamalpur Intercity 93 14525/14526 Ambala Cantt. Sriganganagar Intercity 45,,
13413/13414,"Malda Town Delhi Farakka 1,25",,
14545/14546,Saharanpur Farukh Nagar 84,,
13415/13416,Malda Town Patna 93,,
14553/14554,Delhi Amb Andaura Himachal 16 15117/15118 Chhapra Durg 81,,
14555/14556,Bareilly Delhi 55 15159/15160 Muzaffarpur Gondia Sarnath 81,,
14601/14602,Firozpur Sri Ganganagar 39 15201/15202 Hajipur Raxaul Intercity 64,,
14603/14604,Saharsa Amritsar Jan Sadharan 13 15203/15204 Barauni Lucknow 22,,
14605/14606,"Lalkuan Amritsar 12,55 15209/15210 Saharsa Amritsar Jan Sewa 13,22",,
14609/14610,"Rishikesh Jammu Tawi Hemkunt 12 15211/15212 Darbhanga Amritsar Jan Nayak 13,22,64",,
14625/14626,Delhi Sarai Rohilla Firozpur 39 15215/15216 Muzaffarpur Narkatiaganj 64,,
14629/14630,"Ludhiana Firozpur Sutlej 80 15227/15228 Yesvantpur Muzaffarpur 20,22,29",,
14631/14632,Dehradun Amritsar 12,,
15233/15234,Kolkata Darbhanga 37,,
14633/14634,Amritsar Pathankot Ravi 51,,
15235/15236,Darbhanga Howrah 37,,
14645/14646,Delhi Jammu Tawi Shalimar 16,,
15237/15238,"Darbhanga Ajmer 13,79,64",,
14649/14650,"Jaynagar Amritsar Saryu Yamuna 15,22,25",,
15267/15268,"Raxaul Lokmanya Tilak (T) Jan Sadharan 6,22,64",,
14659/14660,Delhi Jaisalmer 23,,
15269/15270,"Muzaffarpur Ahmedabad Jan Sadharan 22,23,33",,
14661/14662,Delhi Barmer 23,,
15271/15272,Howrah Muzaffarpur Jan Sadharan 37,,
14673/14674,"Jaynagar Amritsar Shaheed 15,22",,
15273/15274,"Raxaul Delhi Satyagraha 22,64",,
14681/14682,New Delhi Jalandhar 16,,
15275/15276,Saharsa Barauni 90,,
14701/14702,Jaisalmer Bikaner (via Phalodi) Kolayat 59,,
15279/15280,Saharsa Adarshnagar Poorabiya 22,,
14703/14704,Jaisalmer Lalgarh (via Phalodi) Kolayat 59,,
15281/15282,Saharsa Patna Kosi 90,,
14705/14706,Delhi Sarai Rohilla Sujangarh Salasar 59,,
15283/15284,Saharsa Jaynagar Janki 90,,
14707/14708,"Bikaner Bandra (T) Ranakpur 11,23",,
15307/15308,Bareilly Aishbagh Nainital 61,,
14709/14710,"Bikaner Puri 5,32,72,78",,
15309/15310,Kasganj Aishbagh Rohilkhand 61,,
14711/14712,Rishikesh Sri Ganganagar Intercity 45,,
15311/15312,Kasganj Bareilly City Kumaun 61,,
14723/14724,"Kanpur Central Bhiwani Kalindi 25,39",,
15313/15314,Aishbagh Bareilly 61,,
14731/14732,"Delhi Fazilka 16,45",,
15315/15316,Gonda Kasganj Gokul 61,,
14795/14796,Bhiwani Kalka Ekta 27,,
15319/15320,Paliakalan Aishbagh Sanctuary 61,,
14801/14802,"Jodhpur Gandhidham 11,23",,
15321/15322,Barhni Gonda (MG) Kapilavastu 38,,
14803/14804,Bhagat Ki Kothi Ahmedabad 23,,
15463/15464,Balurghat New Jalpaiguri 14,,
14805/14806,"Yesvantpur Barmer 19,23,31",,
15467/15468,New Jalpaiguri Alipurduar Jn. Intercity 74,,
14807/14808,Jaipur Alwar 80,,
15469/15470,"Alipurduar Jn. Lumding Intercity 14, 66",,
14809/14810,Jaisalmer Jodhpur 23,,
15471/15472,Alipurduar Jn. Guwahati Intercity 14,,
14811/14812,Delhi Sarai Rohilla Sikar 59,,
15603/15604,Kamakhya Ledo Intercity 66,,
14853/14854,Varanasi Jodhpur(via Faizabad) Marudhar 79,,
15605/15606,Kamakhya Mariani Intercity 66,,
14863/14864,Varanasi Jodhpur(via Sultanpur) Marudhar 79,,
15609/15610,"New Tinsukia Lalgarh Avadh Assam 18,22,39,66",,
14865/14866,Varanasi Jodhpur(via Rae Bareli) Marudhar 79,,
15611/15612,"Lokamanya Tilak (T) Kamakhya Karmabhoomi 5,14,74",,
14887/14888,Kalka Barmer Chandigarh 45,,
15615/15616,Kamakhya Tezpur Intercity 62,,
14889/14890,Bhagat ki Kothi (Jodhpur) Munabao Link 45,,
15619/15620,Gaya Kamakhya 93,,
15001/15002,"Muzaffarpur Dehradun 13,64",,
15621/15622,"Kamakhya Anand Vihar (T) 13,18,74",,
15003/15004,Kanpur Anwarganj Gorakhpur Chauri Chaura 63,,
15623/15624,"Bhagat Ki Kothi Kamakhya 18,59",,
15005/15006,Gorakhpur Dehradun 13,,
15629/15630,Chennai Egmore Guwahati 29,,
15007/15008,"Manduadih Lucknow Krishak 22,63",,
15631/15632,"Barmer Guwahati 18,28",,
15009/15010,Lucknow Jabalpur Chitrakoot 57,,
15635/15636,"Okha Guwahati Dwarka 3,11,18",,
15011/15012,Lucknow Chandigarh 88,,
15639/15640,Puri Guwahati 29,,
15013/15014,"Bhagat Ki Kothi Kathgodam Ranikhet 23,55",,
15643/15644,"Puri Kamakhya 14,29,74",,
15015/15016,"Gorakhpur Yesvantpur 9,35",,
15645/15646,"Lokmanya Tilak (T) Guwahati 18,24",,
15017/15018,"Lokmanya Tilak (T) Gorakhpur Kashi 6,63",,
15647/15648,"Lokmanya Tilak (T) Guwahati 18, 24",,
15019/15020,Gorakhpur Nautanua Intercity 38,,
15651/15652,Guwahati Jammu Tawi Lohit 13,,
15021/15022,"Shalimar Gorakhpur 32, 63",,
15653/15654,"Guwahati Jammu Tawi Amarnath 13,64",,
15023/15024,"Gorakhpur Yesvantpur 9,35,52",,
15657/15658,Sealdah Guwahati Kanchenjunga 14,,
15025/15026,Mau Anand Vihar (T) 25,,
15661/15662,"Ranchi Kamakhya 29,73,74",,
15027/15028,"Hatia Gorakhpur Maurya 36,37",,
15665/15666,Kamakhya Dimapur 66,,
15033/15034,"Haridwar Ram Nagar 13,55",,
15667/15668,"Gandhidham Kamakhya 3,11,18,33",,
15035/15036,Delhi Kathgodam Uttaranchal 55,,
15037/15038,Kanpur Kasganj 25 15691/15692 Lumding Silchar Cachar 83,,
15039/15040,Farrukhabad Kasganj 25 15693/15694 Lumding Silchar Barak Valley 83,,
15041/15042,Farrukhabad Kasganj 25 15695/15696 Lumding Agartala 83,,
15045/15046,"Gorakhpur Okha 11, 33 15707/15708 Katihar Amritsar 15,22",,
15047/15048,Kolkata Gorakhpur Purvanchal 37 15711/15712 Howrah Katihar 14,,
15049/15050,"Kolkata Gorakhpur 37, 63 15713/15714 Katihar Patna Intercity 90",,
15051/15052,"Kolkata Gorakhpur 37, 64 15715/15716 New Jalpaiguri Ajmer Garib Nawaz 18,23,25",,
15097/15098,Bhagalpur Jammu Tawi Amarnath 13 15717/15718 Guwahati Mariani Intercity 66,,
15101/15102,"Chhapra Mumbai CST Jan Sadharan 22,35 15719/15720 Katihar Siliguri Intercity 93",,
15103/15104,Gorakhpur Manduadih 63 15721/15722 Digha New Jalpaiguri Paharia 14,,
15105/15106,Chhapra Gorakhpur Intercity 22 15723/15724 New Jalpaiguri Sitamarhi 13,,
15725/15726,New Jalpaiguri New Cooch Behar Intercity 14,,
15107/15108,Chhapra Mathura 22,,
15765/15766,Siliguri Dhubri Intercity 74,,
15109/15110,Rajgir Varanasi Budhpurnima 67,,
15817/15818,Dhubri Silghat Town Rajya Rani 74,,
15111/15112,"Chhapra Manduadih Intercity 37,63",,
15901/15902,"Bangalore Dibrugarh 20,29,66,74",,
15113/15114,"Chhapra Lucknow Jn. 82 15903/15904 Dibrugarh Chandigarh 13,66",,
15115/15116,"Chhapra Delhi 22 15905/15906 Kanniyakumari Dibrugarh Vivek 66,74,29,86",,
15927/15928,Kamakhya Dibrugarh 66 16519/16520 Jolarpettai Bangalore 20,,
15929/15930,"Chennai Egmore Dibrugarh 29,66 16521/16522 Bangarapet Bangalore 20",,
15933/15934,"Dibrugarh Amritsar 13,66 16525/16526 Kanniyakumari Bangalore 86",,
15941/15942,"Jhajha Dibrugarh 1,14,29,66,74 16527/16528 Yesvantpur Kannur 86",,
15959/15960,"Howrah Dibrugarh Kamrup 14,66 16531/16532 Ajmer Bangalore Garib Nawaz 11,19,23,60",,
16001/16002,"Chennai Palani 86,70 16533/16534 Jodhpur Bangalore 23,11,19,60",,
16003/16004,"Chennai Nagarsol 71,53 16535/16536 Mysore Solapur Golgumbaz 19",,
16021/16022,Chennai Mysore Kaveri 20 16537/16538 Bangalore Nagercoil 69,,
16031/16032,"Chennai Jammu Tawi Andaman 8,16 16557/16558 Mysore Bangalore Rajya Rani 20",,
16041/16042,Chennai Alappuzha 86 16559/16560 Yesvantpur Mysore 20,,
16043/16044,Puducherry Mangalore Central 86 16561/16562 Yesvantpur Kochuveli AC 86,,
16053/16054,Chennai Tirupati 20 16565/16566 Yesvantpur Mangalore 86,,
16057/16058,Chennai Tirupati Sapthagiri 20 16569/16570 Yesvantpur Kacheguda 52,,
16085/16086,Arakkonam Jolarpettai 20 16589/16590 Bangalore Sri Chhatrapati Rani Chennamma 19,,
16089/16090,Chennai Jolarpettai Yelagiri 20 Shahu Maharaj (T),,
16093/16094,Chennai Lucknow Jn. 17 16591/16592 Hubli Mysore Hampi 60,,
16101/16102,Chennai Egmore Rameswaram 21 16593/16594 Hazur Sahib Nanded Bangalore 60,,
16105/16106,Chennai Egmore Tiruchendur 21 16603/16604 Mangalore Central Thiruvananthapuram Maveli 85,,
16115/16116,Chennai Egmore Puducherry 21 16605/16606 Mangalore Central Nagercoil Ernad 85,,
16125/16126,"Chennai Egmore Jodhpur 23,46 16609/16610 Nagercoil Coimbatore 69",,
16611/16612,Tuticorin Coimbatore Link 69,,
16127/16128,"Chennai Egmore Guruvayur 21,85",,
16613/16614,Rajkot Coimbatore 31,,
16129/16130,Chennai Egmore Tuticorin Link 21,,
16615/16616,Mannargudi Coimbatore Chemmozhi 69,,
16175/16176,Chennai Egmore Karaikal 21,,
16617/16618,"Rameswaram Coimbatore 21,69",,
16177/16178,Chennai Egmore Tiruchchirappalli Rockfort 21,,
16627/16628,Chennai Mangalore Central West Coast 86,,
16179/16180,Chennai Egmore Mannargudi Mannai 21,,
16629/16630,Thiruvananthapuram Mangalore Central Malabar 85,,
16181/16182,Chennai Egmore Karaikkudi Silambu 21,,
16649/16650,Mangalore Central Nagercoil Parasuram 85,,
16183/16184,Chennai Egmore Thanjavur 21 16669/16670 Chennai Erode Yercaud 86,,
16185/16186,"Chennai Egmore Velankanni Link 21 16687/16688 Mangalore Central Jammu Tawi Navyug 8,16,86",,
16187/16188,Karaikkal Ernakulam 86 16713/16714 Chennai Egmore Rameswaram 21,,
16201/16202,Bangalore Shimoga Town Intercity 19 16723/16724 Chennai Egmore Thiruvananthapuram Ananthapuri 21,,
16203/16204,Chennai Tirupati 20 16731/16732 Tuticorin Mysore 69,,
16205/16206,"Talguppa Mysore Intercity 19 16733/16734 Rameswaram Okha 11,31,53,70,71",,
16209/16210,"Ajmer Mysore 11,19,23,60 16779/16780 Tirupati Rameswaram 21",,
16215/16216,"Mysore Bangalore Chamundi 20 16787/16788 Tirunelveli Jammu Tawi Link 8,16,69,86",,
16217/16218,"Mysore Sai Nagar Shirdi 10,60,19 16853/16854 Chennai Egmore Tiruchchirappalli 21",,
16227/16228,"Bangalore Talguppa 19 16857/16858 Puducherry Mangalore 21,86",,
16231/16232,"Mayiladuturai Mysore 69 16859/16860 Chennai Egmore Mangalore 21,86",,
16233/16234,Mayiladuturai Tiruchchirappalli 69 16861/16862 Puducherry Kanniyakumari 21,,
16301/16302,Shoranur Thiruvananthapuram Venad 85 17001/17002 Sai Nagar Shirdi Secunderabad 53,,
16303/16304,"Ernakulam Thiruvananthapuram Vanchinad 85 17005/17006 Hyderabad Raxaul 9,36,37,42",,
16305/16306,"Ernakulam Kannur Intercity 85 17007/17008 Secunderabad Darbhanga 36,37,42,9",,
16307/16308,Alappuzha Kannur 85 17009/17010 Bidar Hyderabad/Secunderabad Intercity 53,,
16309/16310,"Ernakulam Patna 86,29",,
17011/17012,Hyderabad/Secunderabad Sirpur Kaghaznagar Intercity 9,,
16311/16312,"Bikaner Kochuveli 23,26",,
17013/17014,Pune Hyderabad 53,,
16313/16314,Ernakulam Kannur 85,,
17015/17016,Bhubaneswar Secunderabad Visakha 30,,
16315/16316,Bangalore Kochuveli 86,,
17017/17018,Rajkot Secunderabad 31,,
16317/16318,"Kanniyakumari Jammu Tawi Himsagar 8,16,86",,
17019/17020,"Hyderabad Ajmer 9,54,53",,
16321/16322,Bangalore Thiruvananthapuram 86,,
17031/17032,Mumbai CST Hyderabad 10,,
16323/16324,"Thiruvananthapuram Shalimar 86,29",,
16325/16326,"Indore Thiruvananthapuram Ahilyanagari 8, 86 17035/17036 Secunderabad Sirpur Kagaznagar Telengana 9",,
16327/16328,"Korba Thiruvananthapuram 42,8,86 17037/17038 Secunderabad Bikaner 23,46",,
16331/16332,Mumbai CST Thiruvananthapuram 70 17049/17050 Machilipatnam Secunderabad 30,,
16333/16334,Veraval Thiruvananthapuram 26 17057/17058 Mumbai CST Secunderabad Devgiri 53,,
16335/16336,Gandhidham Nagercoil 26 17063/17064 Manmad Secunderabad 53,,
16337/16338,Okha Ernakulam 26 17201/17202 Guntur Secunderabad Golconda 71,,
16339/16340,"Mumbai CST Nagercoil 70 17203/17204 Bhavnagar Kakinada Town 10,11,30",,
16341/16342,"Guruvayur Thiruvananthapuram Intercity 85 17205/17206 Sai Nagar Shirdi Kakinada Town 30,53",,
16343/16344,"Thiruvananthapuram Palakkad Town Amritha 86 17207/17208 Sai Nagar Shirdi Vijayawada 30,53",,
16345/16346,"Lokmanya Tilak (T) Thiruvananthapuram Netravati 26 17209/17210 Bangalore Kakinada Town Seshadri 7, 20",,
16347/16348,Thiruvananthapuram Mangalore Central 85 17211/17212 Machilipatnam Yesvantpur Kondaveedu 49,,
16349/16350,"Thiruvananthapuram Nilambur Road Rajya Rani 86 17213/17214 Narsapur Nagarsol 30,53",,
16351/16352,"Mumbai CST Nagercoil 21,70 17221/17222 Kakinada Lokmanya Tilak (T) 10,30",,
16359/16360,"Ernakulam Patna 17,86 17223/17224 Secunderabad Kurnool Town 52",,
16381/16382,"Mumbai CST Kanniyakumari 10,70 17225/17226 Vijayawada Hubli Amaravati 49",,
16501/16502,"Ahmedabad Yesvantpur 31 17229/17230 Kochuveli Hyderabad Sabari 71,86",,
16505/16506,"Gandhidham Bangalore 11,19 17231/17232 Narsapur Nagarsol 30,53",,
16507/16508,"Jodhpur Bangalore 11,19,23 17233/17234 Secunderabad Balharshah Bhagyanagar 9",,
16515/16516,"Yesvantpur Karwar 19,26 17235/17236 Bangalore Nagercoil 69",,
16517/16518,Yesvantpur Kannur 20 17239/17240 Guntur Visakhapatnam Simhadri 30,,
17255/17256,Narsapur Hyderabad 30 18303/18304 Sambalpur Puri 78,,
17301/17302,"Mysore Dharwad 19 18309/18310 Sambalpur Hazur Sahib Nanded Nagavalli 30,40,53",,
17303/17304,"Mysore Bangalore 20 18311/18312 Sambalpur Varanasi 78,41",,
17305/17306,"Londa/Hubli Nizamuddin Link 19 18401/18402 Puri Okha 34,46",,
17307/17308,Mysore Bagalkot Basava 10 18403/18404 Chakradharpur Barbil Intercity 32,,
17309/17310,"Yesvantpur Vasco-da-Gama 19 18405/18406 Puri Ahmedabad (via Sambalpur) 34,46,78",,
17311/17312,"Chennai Vasco-da-Gama 19,20 18407/18408 Puri Sai Nagar Shirdi 34,44,78",,
17313/17314,"Chennai Hubli 19,20 18409/18410 Howrah Puri Sri Jagannath 7",,
17315/17316,"Vasco-da-Gama Velankanni 19,69 18411/18412 Bhubaneswar Visakhapatnam Intercity 30",,
17317/17318,Hubli Lokmanya Tilak (T) 19 18413/18414 Paradeep Puri 32,,
17401/17402,Tirupati Machilipatnam/Narasapur 7 18415/18416 Barbil Puri 32,,
17405/17406,Tirupati Adilabad Krishna 71 18417/18418 Rourkela Bhubaneswar Rajya Rani 78,,
17407/17408,"Tirupati Mannargudi Pamani 21 18419/18420 Puri Jaynagar 32,37",,
17409/17410,"Adilabad Hazur Sahib Nanded 53 18421/18422 Puri Ajmer 34,23,78",,
17411/17412,"Mumbai CST Sri Chhatrapati Mahalaxmi 19 18425/18426 Puri Durg 78,34",,
17413/17414,Tirupati Puducherry 21 18447/18448 Bhubaneswar Jagdalpur Hirakhand 40,,
17415/17416,"Tirupati Sri Chhatrapati Haripriya 19,49 18449/18450 Puri Patna Baidyanathdham 32",,
17429/17430,"Hyderabad Tirupati Rayalaseema 71 18463/18464 Bhubaneswar Bangalore Prasanthi 7,49",,
17479/17480,"Puri Tirupati 7 18473/18474 Puri Jodhpur 78,5,42,3,28",,
17481/17482,"Bilaspur Tirupati 7,42 18477/18478 Puri Haridwar Utkal 32, 75",,
17487/17488,"Tirupati Visakhapatnam Thirumala 7 18495/18496 Rameswaram Bhubaneswar 21,7",,
17603/17604,"Kacheguda Yesvantpur 52 18501/18502 Visakhapatnam Gandhidham 8,34",,
17605/17606,"Kacheguda Mangalore 71,86 18507/18508 Visakhapatnam Amritsar Hirakud 78,32,15",,
17607/17608,"Secunderabad Kurnool Town Thungabhadra 52 18509/18510 Visakhapatnam Hazur Sahib Nanded 30,53",,
17609/17610,"Patna Purna 17,24,53 18511/18512 Koraput Visakhapatnam 40",,
17613/17614,"Pune Hazur Sahib Nanded 44 18513/18514 Kanpur Central Amritsar 12,82",,
17615/17616,"Kacheguda Madurai 52,70 18515/18516 Tatanagar Visakhapatnam 7,32",,
17617/17618,"Mumbai CST Hazur Sahib Nanded Tapovan 53 18519/18520 Visakhapatnam Lokmanya Tilak (T) 10,30",,
17639/17640,Kacheguda Akola 53 18517/18518 Korba Visakhapatnam 42,,
17643/17644,"Chennai Egmore Kakinada Port Circar 7 18567/18568 Visakhapatnam Kollam 29,86",,
17651/17652,"Chennai Egmore Kacheguda 71 18573/18574 Visakhapatnam Bhagat Ki Kothi(Jodhpur) 42,72,81,28",,
17687/17688,Manmad Dharmabad 53 18603/18604 Ranchi Bhagalpur (via Kiul) 36,,
18001/18002,"Howrah Digha Kandari 87 18605/18606 Ranchi Jaynagar 36, 37",,
18003/18004,"Jhargram Purulia 87 18609/18610 Ranchi Lokmanya Tilak (T) 6,41",,
18005/18006,"Howrah Jagdalpur 5,40 18611/18612 Ranchi Varanasi 41",,
18007/18008,Shalimar Baripada Intercity 87 18613/18614 Ranchi Chopan 41,,
18009/18010,"Santragachi Ajmer 34,41,72 18615/18616 Howrah Hatia 87",,
18029/18030,Lokmanya Tilak (T) Shalimar 5 18617/18618 Howrah Ranchi (via Tatanagar) Intercity 87,,
18047/18048,"Howrah Vasco-da-Gama Amravati 7,49 18619/18620 Ranchi Dumka Intercity 36",,
18101/18102,Tatanagar Jammu Tawi 41 18621/18622 Patna Hatia Pataliputra 36,,
18103/18104,"Tatanagar Amritsar Tatanagar 12,41 18623/18624 Rajendranagar Hatia 36",,
18105/18106,Rourkela Bhubaneswar Intercity 78 18627/18628 Howrah Ranchi (via Asansol) Intercity 73,,
18107/18108,"Rourkela Koraput 40 18631/18632 Ranchi Ajmer Garib Nawaz 23,41",,
18109/18110,"Rourkela Jammu Tawi Link 41 18637/18638 Hatia Yesvantpur 20,40",,
18181/18182,Tatanagar Chhapra 37 18645/18646 Howrah Hyderabad East Coast 30,,
18183/18184,Tatanagar Danapur 36 19005/19006 Mumbai Central Okha Saurashtra Mail 11,,
18189/18190,Tatanagar Alappuzha Link 40 19011/19012 Mumbai Central Ahmedabad Gujarat 11,,
18191/18192,Chhapra Farukkhabad 33 19017/19018 Bandra (T) Jamnagar Saurashtra Janata 11,,
18201/18202,"Durg Nautanwa 38,81 19019/19020 Bandra (T) Dehradun 3,75",,
18203/18204,"Durg Kanpur Central Betwa 81 19023/19024 Mumbai Central Firozpur Janata 3,4,39",,
18205/18206,"Durg Nautanwa 38,81 19025/19026 Surat Mahuva 11",,
18207/18208,"Durg Ajmer 72,81 19027/19028 Bandra (T) Jammu Tawi Vivek 11,46,59,80",,
18209/18210,"Dallirajhara Raipur 42 19029/19030 Bandra (T) Delhi Sarai Rohilla 11,23",,
18211/18212,"Durg Jagdalpur 40,42 19037/19038 Bandra (T) Gorakhpur Avadh 3,22",,
18213/18214,"Durg Jaipur 81,72 19039/19040 Bandra (T) Muzaffarpur Avadh 3,22,64",,
18215/18216,"Durg Jammu Tawi 4,32,81 19047/19048 Surat Bhagalpur 24",,
18233/18234,Indore Bilaspur Narmada 43 19049/19050 Bandra (T) Patna 24,,
18235/18236,"Bhopal Bilaspur 43 19051/19052 Valsad Muzaffarpur Shramik 22,24",,
18237/18238,"Bilaspur Amritsar Chattisgarh 42,15 19053/19054 Surat Muzaffarpur 3,33",,
18239,"Gevra Road Nagpur 42,5 19055/19056 Valsad Jodhpur 23,31",,
18240,Nagpur Bilaspur 5 19057/19058 Udhna Varanasi 6,,
18241/18242,Durg Ambikapur 81 19059/19060 Surat Hapa/Jamnagar 11,,
18243/18244,"Bilaspur Bhagat Ki Kothi (Jodhpur) 3,28,42 19061/19062 Bandra (T) Ramnagar 3,55,82",,
18245/18246,"Bilaspur Bikaner 3,28,42 19063/19064 Bandra (T) Jaisalmer 11,23",,
18301/18302,"Sambalpur Rayagada 40 19065/19066 Bandra (T) Jodhpur 11,23",,
19105/19106,"Ahmedabad Haridwar Mail 23,75 21125/21126 Indore Bhind 33",,
